['GROUP-1179', 102]
['GROUP-1865', 105]
['GROUP-95', 105]
['GROUP-366', 106]
['GROUP-1325', 107]
['GROUP-1964', 107]
['GROUP-1100', 107]
['GROUP-328', 109]
['GROUP-480', 110]
['GROUP-2075', 111]
['GROUP-1551', 111]
['GROUP-1330', 111]
['GROUP-306', 111]
['GROUP-33', 114]
['GROUP-345', 116]
['GROUP-778', 118]
['GROUP-299', 119]
['GROUP-1500', 119]
['GROUP-381', 120]
['GROUP-953', 120]
['GROUP-1358', 121]
['GROUP-550', 121]
['GROUP-102', 121]
['GROUP-1370', 125]
['GROUP-1565', 126]
['GROUP-1073', 128]
['GROUP-923', 128]
['GROUP-1016', 128]
['GROUP-1898', 129]
['GROUP-1450', 129]
['GROUP-412', 129]
['GROUP-1111', 130]
['GROUP-777', 130]
['GROUP-646', 134]
['GROUP-1657', 136]
['GROUP-281', 139]
['GROUP-387', 139]
['GROUP-2007', 140]
['GROUP-1981', 142]
['GROUP-58', 143]
['GROUP-1920', 143]
['GROUP-1562', 143]
['GROUP-1432', 144]
['GROUP-1128', 144]
['GROUP-1548', 146]
['GROUP-2115', 147]
['GROUP-135', 151]
['GROUP-1704', 155]
['GROUP-66', 155]
['GROUP-1222', 155]
['GROUP-413', 157]
['GROUP-155', 160]
['GROUP-13', 160]
['GROUP-712', 161]
['GROUP-98', 164]
['GROUP-523', 165]
['GROUP-217', 166]
['GROUP-1874', 166]
['GROUP-1768', 168]
['GROUP-2249', 170]
['GROUP-694', 173]
['GROUP-456', 173]
['GROUP-83', 176]
['GROUP-278', 177]
['GROUP-634', 179]
['GROUP-971', 180]
['GROUP-1970', 183]
['GROUP-1863', 186]
['GROUP-2209', 191]
['GROUP-275', 194]
['GROUP-1721', 201]
['GROUP-103', 202]
['GROUP-1718', 211]
['GROUP-292', 215]
['GROUP-1809', 215]
['GROUP-880', 225]
['GROUP-340', 227]
['GROUP-218', 241]
['GROUP-1254', 257]
['GROUP-170', 259]
['GROUP-2149', 263]
['GROUP-921', 264]
['GROUP-1040', 280]
['GROUP-357', 281]
['GROUP-178', 290]
['GROUP-913', 295]
['GROUP-600', 299]
['GROUP-270', 301]
['GROUP-1329', 302]
['GROUP-1236', 310]
['GROUP-1026', 313]
['GROUP-896', 317]
['GROUP-1079', 322]
['GROUP-1379', 328]
['GROUP-618', 329]
['GROUP-408', 331]
['GROUP-47', 363]
['GROUP-22', 370]
['GROUP-20', 370]
['GROUP-873', 373]
['GROUP-309', 380]
['GROUP-130', 384]
['GROUP-849', 386]
['GROUP-654', 416]
['GROUP-254', 421]
['GROUP-202', 435]
['GROUP-164', 464]
['GROUP-374', 464]
['GROUP-8', 466]
['GROUP-682', 513]
['GROUP-242', 522]
['GROUP-386', 535]
['GROUP-255', 540]
['GROUP-1004', 542]
['GROUP-1246', 563]
['GROUP-227', 595]
['GROUP-831', 612]
['GROUP-226', 727]
['GROUP-311', 743]
['GROUP-2210', 779]
['GROUP-186', 790]
['GROUP-163', 893]
['GROUP-80', 969]
['GROUP-684', 984]
['GROUP-184', 1003]
['GROUP-1134', 1024]
['GROUP-1669', 1136]
['GROUP-316', 1277]
['GROUP-109', 1501]
['GROUP-229', 1822]
['GROUP-112', 2031]
['GROUP-62', 2604]
['GROUP-145', 2738]
['GROUP-165', 5906]
['GROUP-25', 8957]
